teacher_name,teacher_subject,teacher_email,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,open_q1,open_q2,open_q3,open_q4,open_q5,open_q6,open_q7,open_q8,open_q9,open_q10
Madhav Gyawali,Science,madhav.gyawali@school.edu.np,Effective,Yes,Good,Supportive,Often,Clear,Useful,Good,Satisfied,Yes,Chemistry and physics concepts well received,Science lab equipment functional,Science textbooks explain principles clearly,Laboratory work enhances understanding,Some chemicals and apparatus needed,Adequate time for science experiments,Demonstration method proves effective,Strong student curiosity about science,Good support for science programs,Developing scientific temperament among students
Indira Thapa,English,indira.thapa@school.edu.np,Very Effective,Yes,Very Good,Very Supportive,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Students confident in English communication,English classroom well organized,English literature and grammar books excellent,Speaking and writing assessments comprehensive,English library books would enhance learning,Sufficient time for English skill development,Communicative teaching method very successful,Excellent student participation in English,Strong administrative support for English,Consistently achieving excellent English results
Umesh Shrestha,Nepali,umesh.shrestha@school.edu.np,Ineffective,No,Poor,Not Supportive,Rarely,Unclear,Not Useful,Poor,Dissatisfied,No,Students losing interest in Nepali literature,Classroom lacks Nepali cultural materials,Nepali textbooks need more engaging content,Assessment methods need modernization,Nepali literature collection needs expansion,Nepali class time often reduced,Traditional rote learning methods used,Declining student interest in mother tongue,Insufficient support for Nepali education,Nepali language skills deteriorating
Kamana Bhattarai,Health and Population,kamana.bhattarai@school.edu.np,Effective,Yes,Good,Supportive,Often,Clear,Useful,Good,Satisfied,Yes,Health awareness improving among students,Health education room adequately equipped,Health textbooks provide practical guidance,Health project assessments effective,Health education charts and models needed,Sufficient time for health education,Practical approach to health education,Good student participation in health topics,Reasonable support for health programs,Building healthy lifestyle habits
Mohan Acharya,Computer,mohan.acharya@school.edu.np,Neutral,Sometimes,Average,Somewhat Supportive,Sometimes,Somewhat Clear,Somewhat Useful,Average,Neutral,Sometimes,Computer skills development varies by student,Computer lab has adequate machines,Computer textbooks cover basic concepts,Practical computer assessments moderately effective,Internet connectivity sometimes poor,Computer lab time adequate but scheduling issues,Basic computer teaching methods used,Mixed student interest in computers,Limited support for computer education,Gradual improvement in computer literacy
Sujata Khadka,Economics,sujata.khadka@school.edu.np,Very Effective,Yes,Very Good,Very Supportive,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Students understand economic principles well,Economics classroom supports group work,Economics textbooks explain concepts clearly,Case study assessments very effective,Current economic statistics would help,Adequate time for economics discussions,Real world examples make learning relevant,High student engagement in economics,Excellent support for economics education,Building strong foundation in economic thinking
Rabindra Sharma,Mathematics,rabindra.sharma@school.edu.np,Effective,Yes,Good,Supportive,Often,Clear,Useful,Good,Satisfied,Yes,Students showing improvement in mathematics,Mathematics classroom has necessary tools,Math textbooks aligned with curriculum,Regular assessments track student progress,Advanced calculators would enhance learning,Math class time distribution adequate,Problem based learning approach effective,Good student participation in math activities,Adequate support for mathematics education,Mathematics skills gradually improving
Pratiksha Pandey,Science,pratiksha.pandey@school.edu.np,Very Ineffective,No,Very Poor,Not Supportive,Never,Very Unclear,Not Useful,Very Poor,Very Dissatisfied,No,Science experiments dangerous due to poor equipment,Science lab in terrible condition,Science textbooks torn and outdated,Assessment methods completely ineffective,Science lab needs complete renovation,Science practical time wasted due to problems,Unable to conduct proper science education,Students afraid of science experiments,No administrative support for science,Science education quality extremely poor
Nirmal Gautam,English,nirmal.gautam@school.edu.np,Neutral,Sometimes,Average,Somewhat Supportive,Sometimes,Somewhat Clear,Somewhat Useful,Average,Neutral,Sometimes,English proficiency levels vary significantly,English classroom basic but functional,English textbooks adequate for curriculum,English assessments show mixed results,English audio visual aids needed,English class time adequate,Traditional grammar teaching methods used,Moderate student engagement in English,Basic support for English education,English skills slowly developing
Sarika Joshi,Nepali,sarika.joshi@school.edu.np,Very Effective,Yes,Very Good,Very Supportive,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Students proud of Nepali language heritage,Nepali classroom culturally inspiring,Nepali literature books excellent quality,Creative writing assessments outstanding,More contemporary Nepali works needed,Adequate time for Nepali language arts,Cultural integration in teaching very successful,Excellent student pride in mother tongue,Strong support for Nepali education,Successfully preserving and promoting Nepali culture
Krishna Bahadur Rana,Health and Population,krishna.rana@school.edu.np,Ineffective,No,Poor,Not Supportive,Rarely,Unclear,Not Useful,Poor,Dissatisfied,No,Students lack awareness about population issues,No proper health education materials,Health and population textbooks insufficient,Health assessments poorly structured,Health education resources desperately needed,Health education time frequently cancelled,Outdated health teaching methods,Very low student interest in health,No institutional support for health education,Population education completely neglected
Sita Aryal,Computer,sita.aryal@school.edu.np,Effective,Yes,Good,Supportive,Often,Clear,Useful,Good,Satisfied,Yes,Students enthusiastic about learning computers,Computer lab machines working properly,Computer science textbooks current,Programming assessments challenging but fair,More software and hardware needed,Computer lab time well utilized,Hands on teaching approach effective,Strong student interest in technology,Good support for computer science,Preparing students for technology careers
Rajan Karmacharya,Economics,rajan.karmacharya@school.edu.np,Neutral,Sometimes,Average,Somewhat Supportive,Sometimes,Somewhat Clear,Somewhat Useful,Average,Neutral,Sometimes,Economics understanding varies among students,Economics classroom adequate for discussions,Economics textbooks explain basic concepts,Economics assessments moderately effective,Real world economics examples needed,Economics class time adequate,Traditional economics teaching methods,Mixed student response to economics,Limited support for economics education,Economics knowledge gradually building
Bindu Adhikari,Mathematics,bindu.adhikari@school.edu.np,Very Effective,Yes,Very Good,Very Supportive,Always,Very Clear,Very Useful,Very Good,Very Satisfied,Yes,Students excelling in mathematical problem solving,Mathematics classroom well equipped,Math textbooks comprehensive and clear,Mathematical assessments track progress excellently,Advanced mathematical tools would help,Sufficient time for mathematical exploration,Modern problem solving methods successful,Exceptional student engagement in mathematics,Excellent administrative support for math,Consistently producing mathematically skilled students
